iter	Logloss
0	0.6816246662
1	0.6698208708
2	0.6589042443
3	0.6486880677
4	0.6394670402
5	0.6302019339
6	0.6215688058
7	0.6140084026
8	0.6052729678
9	0.5983011183
10	0.5912421874
11	0.5845752076
12	0.5790938466
13	0.5738535135
14	0.5675678591
15	0.5622668834
16	0.5569794267
17	0.5525562807
18	0.5484743568
19	0.5454673207
20	0.5416670801
21	0.5381732384
22	0.534370209
23	0.5313206057
24	0.5285798245
25	0.5248450435
26	0.5215618091
27	0.5192252812
28	0.516559688
29	0.5138410263
30	0.5116790573
31	0.5086461046
32	0.5058643268
33	0.5035495709
34	0.5009130477
35	0.498634775
36	0.4961519085
37	0.4941329522
38	0.4924714779
39	0.490893799
40	0.4893539737
41	0.4876194677
42	0.4855820387
43	0.4840560372
44	0.4825994002
45	0.4812094947
46	0.4795126853
47	0.4780225665
48	0.4766072182
49	0.475157051
50	0.4736125923
51	0.4721777328
52	0.4712438222
53	0.4702539336
54	0.4691370905
55	0.4678621629
56	0.4668033194
57	0.4658245793
58	0.464827646
59	0.4634981632
60	0.4626481783
61	0.461784335
62	0.4608908953
63	0.4600460002
64	0.4590722073
65	0.4581960228
66	0.4573964308
67	0.4565106389
68	0.4552961197
69	0.4547894382
70	0.4540079732
71	0.4531617352
72	0.452270728
73	0.4517458874
74	0.4510344218
75	0.4504737128
76	0.4499518181
77	0.4495924499
78	0.4487488274
79	0.4481308818
80	0.447492255
81	0.4469709326
82	0.4465523119
83	0.4460514286
84	0.4454357256
85	0.4449274097
86	0.4443654517
87	0.4438100761
88	0.4433718719
89	0.4429886157
90	0.4426552755
91	0.4421138794
92	0.4414689494
93	0.4407093679
94	0.4402761257
95	0.4398091561
96	0.4393809064
97	0.4389190664
98	0.4385313723
99	0.4381318523
100	0.4377102375
101	0.4372454996
102	0.4369700832
103	0.4365820443
104	0.4362705433
105	0.4358067321
106	0.4354302656
107	0.4346379879
108	0.4342691086
109	0.4339118717
110	0.4336048826
111	0.4330808204
112	0.4326937424
113	0.4323318189
114	0.4317946036
115	0.431471056
116	0.4311366256
117	0.4307992035
118	0.4304968234
119	0.4300643266
120	0.4298096525
121	0.4294760806
122	0.4291948004
123	0.4288368464
124	0.4284792867
125	0.4282241378
126	0.4276915302
127	0.4272971202
128	0.4270913996
129	0.4270789404
130	0.4269282988
131	0.4267313009
132	0.42637157
133	0.4261574891
134	0.4258581039
135	0.4257608384
136	0.4254770776
137	0.4251099583
138	0.424872116
139	0.4246261188
140	0.4243510785
141	0.4241647507
142	0.4239120073
143	0.4236085669
144	0.4233298428
145	0.4230583141
146	0.4227983973
147	0.4225806539
148	0.4224124086
149	0.422220218
150	0.4220416139
151	0.4217895987
152	0.421597265
153	0.4213107099
154	0.4211950514
155	0.4210596242
156	0.4208527725
157	0.4206829867
158	0.4205056497
159	0.4203362802
160	0.4200225599
161	0.4197560407
162	0.4195008154
163	0.4191829014
164	0.4188996199
165	0.4186953005
166	0.4184659266
167	0.4183292439
168	0.4181003129
169	0.4179408537
170	0.4177879849
171	0.4176737235
172	0.4172646338
173	0.4170825997
174	0.4169278946
175	0.4167336232
176	0.4162508935
177	0.4160719773
178	0.4158604129
179	0.4153693677
180	0.4153117285
181	0.4151435816
182	0.4150641804
183	0.414886928
184	0.414762477
185	0.4146222598
186	0.4144800541
187	0.4141642587
188	0.4138839176
189	0.4136776286
190	0.4135783148
191	0.4131534559
192	0.4130149433
193	0.4128695112
194	0.4127099368
195	0.4125680255
196	0.4122735392
197	0.4121771094
198	0.4120329861
199	0.4116852211
200	0.4115557738
201	0.4114512197
202	0.4112562752
203	0.4109962445
204	0.4109065028
205	0.4107762927
206	0.4105628248
207	0.4104612402
208	0.4102810225
209	0.4101118128
210	0.409973336
211	0.4098291678
212	0.4097651268
213	0.4096455471
214	0.4095156351
215	0.4093457831
216	0.4092705867
217	0.4090988748
218	0.4090369982
219	0.4089149834
220	0.4086077436
221	0.408497888
222	0.4083882539
223	0.4083012603
224	0.4081551856
225	0.4079200008
226	0.407767417
227	0.4075310575
228	0.4074003897
229	0.4072392323
230	0.4070777613
231	0.406875334
232	0.4068086887
233	0.4066553926
234	0.4065318501
235	0.4064307738
236	0.4063525807
237	0.4061668721
238	0.4060288731
239	0.4059435531
240	0.4058158201
241	0.4055819892
242	0.4055149682
243	0.405515218
244	0.4053749913
245	0.405252805
246	0.4051004828
247	0.4050241434
248	0.4049567392
249	0.4048298355
250	0.4047503776
251	0.4046129418
252	0.4044666597
253	0.4043498283
254	0.4041086982
255	0.4038343558
256	0.4037083533
257	0.403622163
258	0.4035119032
259	0.4033623565
260	0.4031965873
261	0.4029858878
262	0.4029600447
263	0.4028556943
264	0.4027153275
265	0.4025724164
266	0.4024550722
267	0.4022052021
268	0.4020341052
269	0.4019435664
270	0.4017867894
271	0.4017212054
272	0.401657506
273	0.4015116825
274	0.4013679429
275	0.4012408321
276	0.4011723641
277	0.4010075989
278	0.4009288294
279	0.4006545647
280	0.4004075685
281	0.4000816006
282	0.399989225
283	0.3997870558
284	0.399652785
285	0.3995555873
286	0.3995101824
287	0.3994579925
288	0.3992942923
289	0.3991747043
290	0.3990355745
291	0.3988998924
292	0.3988358821
293	0.3985608623
294	0.3985022193
295	0.3984142469
296	0.3982948185
297	0.398198535
298	0.3981063609
299	0.3979160092
300	0.3976935801
301	0.3974971258
302	0.3974285712
303	0.3972016927
304	0.3971371262
305	0.3970687857
306	0.3969635685
307	0.3968700128
308	0.3968153561
309	0.3967181206
310	0.3966526816
311	0.3965872405
312	0.39647918
313	0.3964208637
314	0.396303317
315	0.3962064216
316	0.3960467558
317	0.3959436767
318	0.3958036189
319	0.3956452383
320	0.3955503315
321	0.3954272805
322	0.3953487695
323	0.395257114
324	0.3951551673
325	0.3949468832
326	0.3949043614
327	0.3948059462
328	0.3947266071
329	0.3946305018
330	0.3945034433
331	0.3942905795
332	0.3940653423
333	0.3939697153
334	0.3938788882
335	0.3937772525
336	0.393705753
337	0.393636259
338	0.3935747225
339	0.393396956
340	0.3932854607
341	0.3932159265
342	0.3930998034
343	0.3930032989
344	0.3929084757
345	0.3928816533
346	0.3928337424
347	0.3927739449
348	0.3927332788
349	0.3926817416
350	0.3925880514
351	0.3924660534
352	0.3923763497
353	0.3923315849
354	0.3922112819
355	0.3921222002
356	0.3920468757
357	0.3919616619
358	0.3918676883
359	0.3915495441
360	0.3913738213
361	0.3912528939
362	0.3911823629
363	0.3911270111
364	0.3910203888
365	0.3908803357
366	0.3908319388
367	0.3907385492
368	0.3905246076
369	0.3904171102
370	0.3903248633
371	0.3902429008
372	0.3900456354
373	0.3899670275
374	0.389865536
375	0.3897522351
376	0.3895680548
377	0.3894014452
378	0.3891985896
379	0.3890249381
380	0.3889415531
381	0.3888020565
382	0.3887235023
383	0.3886557137
384	0.3885681059
385	0.38849618
386	0.3883940942
387	0.388300812
388	0.3882338376
389	0.388149229
390	0.387999868
391	0.3878502253
392	0.3877529791
393	0.3876840714
394	0.3875460261
395	0.3874674714
396	0.3873738021
397	0.3873109486
398	0.3871979443
399	0.3870960382
400	0.3870069064
401	0.386930178
402	0.3868623263
403	0.3867511118
404	0.3866593934
405	0.3863339494
406	0.3860648681
407	0.3859464311
408	0.3858592718
409	0.3857930376
410	0.3857553765
411	0.3856664666
412	0.3855874356
413	0.3855269993
414	0.3854084583
