iter	Passed	Remaining
0	142	142735
1	150	74931
2	159	52859
3	168	41866
4	176	35070
5	184	30501
6	190	26961
7	196	24377
8	201	22236
9	208	20614
10	213	19219
11	219	18067
12	227	17254
13	233	16457
14	240	15779
15	246	15153
16	253	14651
17	260	14185
18	266	13775
19	337	16558
20	364	17003
21	435	19351
22	448	19067
23	474	19288
24	480	18730
25	492	18437
26	500	18036
27	510	17728
28	519	17401
29	527	17070
30	537	16788
31	546	16537
32	555	16286
33	563	16009
34	572	15782
35	580	15551
36	589	15345
37	597	15136
38	607	14968
39	614	14758
40	623	14584
41	631	14405
42	640	14258
43	650	14127
44	658	13976
45	667	13833
46	675	13704
47	684	13572
48	692	13446
49	701	13328
50	709	13205
51	717	13076
52	724	12943
53	732	12829
54	741	12743
55	750	12644
56	757	12537
57	765	12438
58	774	12356
59	783	12274
60	791	12184
61	799	12098
62	807	12012
63	815	11928
64	822	11838
65	831	11764
66	839	11696
67	848	11623
68	855	11542
69	863	11468
70	871	11406
71	879	11339
72	887	11270
73	895	11211
74	905	11164
75	913	11106
76	921	11049
77	930	11002
78	939	10955
79	948	10906
80	957	10858
81	965	10813
82	974	10766
83	983	10719
84	992	10684
85	1002	10650
86	1011	10610
87	1018	10560
88	1027	10519
89	1036	10476
90	1044	10436
91	1054	10406
92	1062	10365
93	1071	10324
94	1079	10285
95	1087	10244
96	1099	10239
97	1109	10212
98	1117	10173
99	1142	10278
100	1150	10241
101	1159	10205
102	1168	10174
103	1177	10141
104	1185	10102
105	1195	10080
106	1202	10038
107	1210	10001
108	1218	9962
109	1227	9927
110	1234	9884
111	1242	9850
112	1250	9817
113	1259	9784
114	1267	9750
115	1274	9713
116	1282	9676
117	1290	9645
118	1297	9608
119	1305	9572
120	1313	9540
121	1321	9510
122	1330	9485
123	1338	9457
124	1346	9428
125	1355	9405
126	1365	9384
127	1375	9371
128	1384	9345
129	1394	9334
130	1403	9307
131	1410	9277
132	1419	9252
133	1426	9220
134	1435	9194
135	1441	9157
136	1450	9134
137	1459	9114
138	1467	9089
139	1476	9068
140	1485	9051
141	1495	9036
142	1503	9012
143	1511	8986
144	1520	8967
145	1529	8946
146	1537	8918
147	1544	8891
148	1552	8865
149	1560	8844
150	1568	8821
151	1577	8798
152	1588	8791
153	1596	8769
154	1603	8741
155	1612	8722
156	1620	8702
157	1629	8683
158	1638	8664
159	1646	8646
160	1654	8623
161	1665	8615
162	1674	8600
163	1685	8589
164	1693	8572
165	1702	8554
166	1711	8538
167	1721	8526
168	1731	8512
169	1739	8490
170	1746	8469
171	1755	8451
172	1763	8430
173	1770	8406
174	1779	8390
175	1788	8371
176	1795	8347
177	1802	8325
178	1811	8308
179	1818	8285
180	1825	8260
181	1833	8241
182	1841	8221
183	1862	8259
184	1870	8238
185	1879	8226
186	1887	8206
187	1895	8186
188	1902	8163
189	1911	8147
190	1918	8127
191	1927	8111
192	1935	8094
193	1945	8083
194	1953	8065
195	1961	8047
196	1970	8031
197	1979	8017
198	1988	8003
199	1997	7988
200	2006	7976
201	2015	7960
202	2024	7946
203	2032	7931
204	2041	7916
205	2050	7904
206	2059	7889
207	2067	7872
208	2076	7858
209	2084	7840
210	2091	7819
211	2099	7803
212	2107	7786
213	2115	7770
214	2123	7754
215	2132	7740
216	2142	7729
217	2150	7714
218	2159	7700
219	2167	7686
220	2175	7668
221	2183	7651
222	2191	7636
223	2200	7623
224	2208	7606
225	2217	7593
226	2225	7577
227	2234	7564
228	2242	7551
229	2251	7537
230	2258	7519
231	2267	7505
232	2274	7488
233	2283	7474
234	2291	7460
235	2299	7445
236	2308	7430
237	2316	7415
238	2323	7398
239	2331	7384
240	2339	7368
241	2347	7352
242	2354	7335
243	2357	7305
244	2365	7290
245	2372	7273
246	2380	7258
247	2388	7243
248	2397	7232
249	2406	7219
250	2415	7207
251	2423	7194
252	2432	7182
253	2442	7173
254	2450	7160
255	2459	7147
256	2469	7138
257	2477	7126
258	2486	7113
259	2497	7107
260	2505	7094
261	2513	7079
262	2518	7058
263	2527	7045
264	2535	7031
265	2542	7016
266	2550	7001
267	2558	6988
268	2566	6973
269	2574	6959
270	2581	6943
271	2589	6930
272	2597	6917
273	2606	6904
274	2613	6890
275	2621	6876
276	2629	6863
277	2639	6854
278	2647	6840
279	2654	6827
280	2664	6816
281	2672	6804
282	2681	6793
283	2690	6782
284	2698	6770
285	2707	6760
286	2716	6749
287	2724	6735
288	2733	6723
289	2742	6713
290	2750	6701
291	2760	6692
292	2769	6682
293	2777	6670
294	2787	6662
295	2796	6650
296	2805	6640
297	2813	6627
298	2822	6617
299	2831	6606
300	2840	6595
301	2847	6581
302	2856	6570
303	2864	6559
304	2873	6547
305	2882	6536
306	2890	6525
307	2899	6513
308	2907	6502
309	2915	6490
310	2924	6479
311	2931	6464
312	2939	6450
313	2946	6436
314	2954	6425
315	2963	6413
316	2972	6403
317	2980	6392
318	2989	6381
319	2997	6370
320	3005	6358
321	3015	6348
322	3023	6337
323	3031	6325
324	3040	6314
325	3048	6303
326	3055	6288
327	3064	6277
328	3072	6266
329	3082	6257
330	3091	6247
331	3099	6236
332	3108	6225
333	3117	6215
334	3124	6202
335	3131	6188
336	3140	6177
337	3148	6167
338	3159	6159
339	3167	6149
340	3177	6141
341	3186	6130
342	3195	6120
343	3203	6108
344	3211	6097
345	3220	6087
346	3228	6075
347	3235	6062
348	3245	6053
349	3253	6042
350	3261	6030
351	3269	6018
352	3278	6008
353	3286	5997
354	3295	5987
355	3303	5975
356	3312	5965
357	3320	5953
358	3328	5942
359	3337	5932
360	3345	5922
361	3354	5911
362	3362	5900
363	3371	5890
364	3379	5879
365	3387	5868
366	3396	5857
367	3406	5849
368	3414	5839
369	3423	5829
370	3432	5819
371	3441	5809
372	3450	5800
373	3459	5789
374	3467	5779
375	3475	5768
376	3483	5757
377	3491	5745
378	3498	5733
379	3506	5721
380	3514	5710
381	3523	5699
